Date,Close
16/11/15,335.09
17/11/15,334.59
18/11/15,326.15
19/11/15,322.02
20/11/15,326.93
21/11/15,324.54
22/11/15,323.05
23/11/15,320.05
24/11/15,328.21
25/11/15,352.68
26/11/15,358.04
27/11/15,357.38
28/11/15,371.29
29/11/15,377.32
30/11/15,362.49
1/12/15,359.19
2/12/15,361.05
3/12/15,363.18
4/12/15,388.95
5/12/15,388.78
6/12/15,395.54
7/12/15,415.56
8/12/15,417.56
9/12/15,415.48
10/12/15,451.94
11/12/15,435
12/12/15,433.75
13/12/15,444.18
14/12/15,465.32
15/12/15,454.93
16/12/15,456.08
17/12/15,463.62
18/12/15,462.32
19/12/15,442.69
20/12/15,438.64
21/12/15,436.57
22/12/15,442.4
23/12/15,454.99
24/12/15,455.65
25/12/15,417.27
26/12/15,422.82
27/12/15,422.28
28/12/15,432.98
29/12/15,426.62
30/12/15,430.57
31/12/15,434.33
1/1/16,433.44
2/1/16,430.01
3/1/16,433.09
4/1/16,431.96
5/1/16,429.11
6/1/16,458.05
7/1/16,453.23
8/1/16,447.61
9/1/16,447.99
10/1/16,448.43
11/1/16,435.69
12/1/16,432.37
13/1/16,430.31
14/1/16,364.33
15/1/16,387.54
16/1/16,382.3
17/1/16,387.17
18/1/16,380.15
19/1/16,420.23
20/1/16,410.26
21/1/16,382.49
22/1/16,387.49
23/1/16,402.97
24/1/16,391.73
25/1/16,392.15
26/1/16,394.97
27/1/16,380.29
28/1/16,379.47
29/1/16,378.25
30/1/16,368.77
31/1/16,373.06
1/2/16,374.45
2/2/16,369.95
3/2/16,389.59
4/2/16,386.55
5/2/16,376.52
6/2/16,376.62
7/2/16,373.45
8/2/16,376.03
9/2/16,381.65
10/2/16,379.65
11/2/16,384.26
12/2/16,391.86
13/2/16,407.23
14/2/16,400.19
15/2/16,407.49
16/2/16,416.32
17/2/16,422.37
18/2/16,420.79
19/2/16,437.16
20/2/16,438.8
21/2/16,437.75
22/2/16,420.74
23/2/16,424.95
24/2/16,424.54
25/2/16,432.15
26/2/16,432.52
27/2/16,433.5
28/2/16,437.7
29/2/16,435.12
1/3/16,423.99
2/3/16,421.65
3/3/16,410.94
4/3/16,400.57
5/3/16,407.71
6/3/16,414.32
7/3/16,413.97
8/3/16,414.86
9/3/16,417.13
10/3/16,421.69
11/3/16,411.62
12/3/16,414.06
13/3/16,416.44
14/3/16,416.83
15/3/16,417.01
16/3/16,420.62
17/3/16,409.55
18/3/16,410.44
19/3/16,413.75
20/3/16,413.31
21/3/16,418.09
22/3/16,418.04
23/3/16,416.39
24/3/16,417.18
25/3/16,417.94
26/3/16,426.76
27/3/16,424.23
28/3/16,416.52
29/3/16,414.82
30/3/16,416.73
31/3/16,417.96
1/4/16,420.87
2/4/16,420.9
3/4/16,421.44
4/4/16,424.03
5/4/16,423.41
6/4/16,422.75
7/4/16,420.35
8/4/16,419.41
9/4/16,421.56
10/4/16,422.48
11/4/16,425.19
12/4/16,423.73
13/4/16,424.28
14/4/16,429.71
15/4/16,430.57
16/4/16,427.4
17/4/16,428.59
18/4/16,435.51
19/4/16,441.39
20/4/16,449.43
21/4/16,445.74
22/4/16,450.28
23/4/16,458.56
24/4/16,461.43
25/4/16,466.09
26/4/16,444.69
27/4/16,449.01
28/4/16,455.1
29/4/16,448.32
30/4/16,451.88
1/5/16,444.67
2/5/16,450.3
3/5/16,446.72
4/5/16,447.98
5/5/16,459.6
6/5/16,458.54
7/5/16,458.55
8/5/16,460.48
9/5/16,450.89
10/5/16,452.73
11/5/16,454.77
12/5/16,455.67
13/5/16,455.67
14/5/16,457.57
15/5/16,454.16
16/5/16,453.78
17/5/16,454.62
18/5/16,438.71
19/5/16,442.68
20/5/16,443.19
21/5/16,439.32
22/5/16,444.15
23/5/16,445.98
24/5/16,449.6
25/5/16,453.38
26/5/16,473.46
27/5/16,530.04
28/5/16,526.23
29/5/16,533.86
30/5/16,531.39
31/5/16,536.92
1/6/16,537.97
2/6/16,569.19
3/6/16,572.73
4/6/16,574.98
5/6/16,585.54
6/6/16,576.6
7/6/16,581.64
8/6/16,574.63
9/6/16,577.47
10/6/16,606.73
11/6/16,672.78
12/6/16,704.38
13/6/16,685.56
14/6/16,694.47
15/6/16,766.31
16/6/16,748.91
17/6/16,756.23
18/6/16,763.78
19/6/16,737.23
20/6/16,666.65
21/6/16,596.12
22/6/16,623.98
23/6/16,665.3
24/6/16,665.12
25/6/16,629.37
26/6/16,655.27
27/6/16,647
28/6/16,639.89
29/6/16,673.34
30/6/16,676.3
1/7/16,703.7
2/7/16,658.66
3/7/16,683.66
4/7/16,670.63
5/7/16,677.33
6/7/16,640.56
7/7/16,666.52
8/7/16,650.96
9/7/16,649.36
10/7/16,647.66
11/7/16,664.55
12/7/16,654.47
13/7/16,658.08
14/7/16,663.25
15/7/16,660.77
16/7/16,679.46
17/7/16,673.11
18/7/16,672.86
19/7/16,665.68
20/7/16,665.01
21/7/16,650.62
22/7/16,655.56
23/7/16,661.28
24/7/16,654.1
25/7/16,651.78
26/7/16,654.35
27/7/16,655.03
28/7/16,656.99
29/7/16,655.05
30/7/16,624.68
31/7/16,606.27
1/8/16,547.47
2/8/16,566.36
3/8/16,578.29
4/8/16,575.04
5/8/16,587.78
6/8/16,592.69
7/8/16,591.05
8/8/16,587.8
9/8/16,592.1
10/8/16,589.12
11/8/16,587.56
12/8/16,585.59
13/8/16,570.47
14/8/16,567.24
15/8/16,577.44
16/8/16,573.22
17/8/16,574.32
18/8/16,575.63
19/8/16,581.7
20/8/16,581.31
21/8/16,586.75
22/8/16,583.41
23/8/16,580.18
24/8/16,577.76
25/8/16,579.65
26/8/16,569.95
27/8/16,573.91
28/8/16,574.11
29/8/16,577.5
30/8/16,575.47
31/8/16,572.3
1/9/16,575.54
2/9/16,598.21
3/9/16,608.63
